passage_id,title,anchor_lexile,review_status,target_band,cefr_level,genre,topic,word_count,item_count,diagnostic_ready,validation_flags
vq_b1dc26548d6a,Reading Quest [Informational]: PET全_Page_41_03261514,850,reviewed_candidate,800L-950L,B1,informational,informational,174,5,False,diagnostic_skill_coverage_incomplete
vq_6b6c169845df,Reading Quest [Informational]: PET全_Page_64_03261514,850,reviewed_candidate,800L-950L,B1,informational,informational,185,5,False,diagnostic_skill_coverage_incomplete
vq_c03b38c968ff,Reading Quest [Informational]: PET全_Page_10_03261327,850,reviewed_candidate,800L-950L,B1,informational,informational,215,5,False,diagnostic_skill_coverage_incomplete
vq_ba84f6e272be,Reading Quest [Literature]: PET全_Page_10_03261327,850,reviewed_candidate,800L-950L,B1,literature,PET_part_3,205,5,False,diagnostic_skill_coverage_incomplete
vq_80edd91156b6,Reading Quest [Literature]: PET全_Page_34_03261514,850,reviewed_candidate,800L-950L,B1,literature,literature,168,5,False,item_1_skill_inferred;item_2_skill_inferred;item_3_skill_inferred;item_4_skill_inferred;item_5_skill_inferred;diagnostic_skill_coverage_incomplete
vq_a2bfec6a3b99,Reading Quest [Literature]: PET全_Page_55_03261514,850,reviewed_candidate,800L-950L,B1,literature,literature,188,5,False,item_1_skill_inferred;item_2_skill_inferred;item_3_skill_inferred;item_4_skill_inferred;item_5_skill_inferred;diagnostic_skill_coverage_incomplete
vq_2b7408126798,Reading Quest [Literature]: PET全_Page_24_03261514,850,reviewed_candidate,800L-950L,B1,literature,literature,177,5,False,item_1_skill_inferred;item_2_skill_inferred;item_3_skill_inferred;item_4_skill_inferred;item_5_skill_inferred;diagnostic_skill_coverage_incomplete
vq_52b839573d65,Reading Quest [Literature]: PET全_Page_35_03261514,850,reviewed_candidate,800L-950L,B1,literature,literature,195,5,False,item_1_skill_inferred;item_2_skill_inferred;item_3_skill_inferred;item_4_skill_inferred;item_5_skill_inferred;diagnostic_skill_coverage_incomplete
vq_a5ed8118a783,Reading Quest [Literature]: PET全_Page_5_03261327,850,reviewed_candidate,800L-950L,B1,literature,literature,194,5,False,item_1_skill_inferred;item_2_skill_inferred;item_3_skill_inferred;item_4_skill_inferred;item_5_skill_inferred;diagnostic_skill_coverage_incomplete
vq_253ea7923758,Reading Quest [Literature]: PET全_Page_57_03261514,850,reviewed_candidate,800L-950L,B1,literature,PET_part_4,186,5,True,
vq_a7a1b8388c82,Reading Quest [Literature]: PET全_Page_54_03261514,850,reviewed_candidate,800L-950L,B1,literature,literature,187,5,False,item_1_skill_inferred;item_2_skill_inferred;item_3_skill_inferred;item_4_skill_inferred;item_5_skill_inferred;diagnostic_skill_coverage_incomplete
vq_e97e3673f67e,Reading Quest [Literature]: PET全_Page_66_03261514,850,reviewed_candidate,800L-950L,B1,literature,literature,161,4,False,item_1_skill_inferred;item_2_skill_inferred;item_3_skill_inferred;item_4_skill_inferred;structural_candidate_must_include_exactly_5_items;diagnostic_item_count_not_5;diagnostic_skill_coverage_incomplete
vq_4a115036d84b,Reading Quest [Literature]: PET全_Page_63_03261514,850,reviewed_candidate,800L-950L,B1,literature,literature,199,5,False,item_1_skill_inferred;item_2_skill_inferred;item_3_skill_inferred;item_4_skill_inferred;item_5_skill_inferred;diagnostic_skill_coverage_incomplete
vq_3fcd767f3e99,Reading Quest [Literature]: PET全_Page_59_03261514,850,reviewed_candidate,800L-950L,B1,literature,PET_part_4,177,5,True,
